folder,material,alkaline_earth,boron_family,halogen,qtd_atoms,volume,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,space_group,etotal,Hf,Hf_per_atom,PDEntry,bandgap,direct,transition,e_above_hull
MgGaF5_C2c,MgGaF5,Mg,Ga,F,2.0,162.78851745657673,5.126034308711193,5.12603401171227,7.28420263014184,68.92074730410593,68.92075914527422,71.6076353187421,15,-68.39741834,-45.985503503,-3.2846788216428573,PDEntry : Mg2 Ga2 F10 (MgGaF5_C2c) with energy = -68.3974,5.5882,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",7.623142857049459e-05
MgGaF5_Immm,MgGaF5,Mg,Ga,F,2.0,204.9945568680336,3.43177785662252,7.4012161127870835,8.07086487537771,90.0,90.0,90.00000000000001,71,-60.93195233,-38.520037493,-2.7514312495000004,PDEntry : Mg2 Ga2 F10 (MgGaF5_Immm) with energy = -60.9320,3.4294,False,"(0.429,0.000,0.000)-(0.000,0.000,0.000)",0.5333238035714283
MgGaF5_P12_11,MgGaF5,Mg,Ga,F,4.0,311.35316000208627,5.410023719118634,8.751468888859625,6.779868355217848,90.0,75.91969245714799,90.0,4,-133.98672869,-89.16289901600001,-3.184389250571429,PDEntry : Mg4 Ga4 F20 (MgGaF5_P12_11) with energy = -133.9867,4.9641,False,"(-0.400,0.000,0.250)-(0.000,0.000,0.000)",0.1003658024999989
MgGaF5_P21c,MgGaF5,Mg,Ga,F,4.0,316.7315821996249,9.51656261650109,4.887205676976935,7.238883626718175,70.1796579940068,90.0,90.0,14,-136.49486805,-91.671038376,-3.2739656562857147,PDEntry : Mg4 Ga4 F20 (MgGaF5_P21c) with energy = -136.4949,5.723,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0107893967857135
MgGaF5_P2_12_121_BaAlF5,MgGaF5,Mg,Ga,F,4.0,307.38176970430635,4.692275757446879,5.340244811891366,12.266860117146702,90.0,90.0,90.00000000000001,19,-136.64705917,-91.823229496,-3.279401053428572,PDEntry : Mg4 Ga4 F20 (MgGaF5_P2_12_121_BaAlF5) with energy = -136.6471,5.581300000000001,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0053539996428568
MgGaF5_P2_12_121_BaGaF5,MgGaF5,Mg,Ga,F,4.0,307.0550261168276,4.687918948432812,5.337630274875224,12.271216781413408,90.0,90.0,90.00000000000001,19,-136.63134944,-91.807519766,-3.2788399916428577,PDEntry : Mg4 Ga4 F20 (MgGaF5_P2_12_121_BaGaF5) with energy = -136.6313,5.5843,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0059150614285705
MgGaI3,MgGaI3,Mg,Ga,I,6.0,382.7458919342541,7.965022455689228,7.9660256669498,6.963172454374265,90.0,90.0,119.96706195557329,194,-24.24015727,-8.672525038000003,-0.8672525038000003,PDEntry : I6 Mg2 Ga2 with energy = -24.2402,1.6608,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0741796964166647
MgGaI5,MgGaI5,Mg,Ga,I,2.0,675.8042619076491,8.807339598444866,8.807339598444864,14.99583503375992,128.16627193897213,128.16627193897213,53.632784136002215,9,-33.57027373,-11.909809317999994,-0.8507006655714281,PDEntry : Mg2 I10 Ga2 with energy = -33.5703,1.8556,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0
MgGaI5_C2c,MgGaI5,Mg,Ga,I,2.0,586.5538955744581,7.556654029881886,7.556653920688753,12.285783820840296,66.38569692771173,66.38571436881753,85.16376905221506,15,-32.1031421,-10.442677687999996,-0.7459055491428569,PDEntry : Mg2 Ga2 I10 (MgGaI5_C2c) with energy = -32.1031,0.4006,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.1047951164285714
MgI,MgI,Mg,,I,1.0,68.30701688720325,4.588387687158651,4.588387687158651,4.588387687158651,59.99999999999999,60.00000000000001,60.00000000000001,225,-3.66217158,-1.1692537339999998,-0.5846268669999999,PDEntry : I1 Mg1 with energy = -3.6622,0.0,False,,0.3735819834999998
MgI4,MgI4,Mg,,I,2.0,430.752229026463,7.288501989598967,9.068062583038849,8.782347670199714,107.51725666967752,92.2997952816623,125.84555057418024,2,-21.20513401,-7.080050047999999,-0.7080050047999998,PDEntry : Mg2 I8 with energy = -21.2051,1.6509000000000005,False,"(0.250,0.500,-0.000)-(0.500,0.000,0.000)",0.0
MgIn,MgIn,Mg,In,,1.0,46.731754687143294,3.170924426288569,3.170924426288569,4.647723735416503,90.0,90.0,90.0,123,-4.25366355,-1.129090239,-0.5645451195,PDEntry : In1 Mg1 with energy = -4.2537,0.0,False,,0.0
MgIn11,MgIn11,Mg,In,,3.0,1029.7166113455808,10.098090059216323,10.098090059216323,10.098090059216323,90.0,90.0,90.0,221,-87.76696441,-13.747339177000017,-0.3818705326944449,PDEntry : Mg3 In33 with energy = -87.7670,0.0,False,,0.0548815655555552
MgIn12,MgIn12,Mg,In,,12.0,375.08441272823546,8.377422387628098,8.377422387628098,8.377422387628098,97.84213060367702,97.84213060367702,136.64481769369476,139,-31.17534905,-4.347277129000005,-0.3344059330000004,PDEntry : In12 Mg1 with energy = -31.1753,0.0,False,,0.1002883115384611
MgIn13,MgIn13,Mg,In,,1.0,382.5573738792705,8.239919975547906,8.239919975547906,6.138628281789556,98.07004729075058,98.07004729075058,68.65769048671689,12,-34.93165073,-5.948715299000003,-0.4249082356428574,PDEntry : Mg1 In13 with energy = -34.9317,0.0,False,,0.008022134285714
MgIn2,MgIn2,Mg,In,,4.0,150.97555318221464,5.779559155881,5.733349891218772,6.04318610843287,118.52575275325556,69.38147913915373,119.76749041305082,15,-13.61771934,-3.0588456980000025,-0.5098076163333337,PDEntry : In4 Mg2 with energy = -13.6177,0.0,False,,0.0052255446666666
MgIn2Br10,Mg(InBr5)2,Mg,In,Br,1.0,454.4478290993936,6.909746518981933,6.909746518981933,10.68875617729686,70.72074508293193,70.72074508293193,85.43967373412319,5,-31.60818125,-9.903957254000003,-0.7618428656923081,PDEntry : Mg1 In2 Br10 (MgIn2Br10) with energy = -31.6082,0.0,False,,0.1909512842307683
MgIn2Br4,Mg(InBr2)2,Mg,In,Br,4.0,1076.4103978952437,9.592329328060556,7.985573552536484,14.103708045611809,85.12193448164902,90.23123623088571,90.32419619539124,2,-81.17074482,-33.773338056,-1.206190644857143,PDEntry : Mg4 Br16 In8 (MgIn2Br4) with energy = -81.1707,3.2485,False,"(-0.333,0.333,0.500)-(0.333,0.333,0.500)",0.0197397810714288
MgIn2Br6,Mg(InBr3)2,Mg,In,Br,1.0,375.956508935745,7.386085095267498,7.386085095267498,8.731766090070453,64.36707648003707,64.36707648003707,67.56309401632359,12,-24.76549325,-9.631184123999995,-1.070131569333333,PDEntry : Mg1 Br6 In2 (MgIn2Br6) with energy = -24.7655,1.5435,False,"(0.500,0.000,0.333)-(0.000,0.000,0.333)",0.1052963041666652
MgIn2Br8,Mg(InBr4)2,Mg,In,Br,4.0,1764.1345944386228,14.040225875163904,14.040225875163904,14.040225875163904,125.61865041158444,125.61865041158444,80.51582290037778,142,-121.01900258,-47.341936336,-1.0759530985454546,PDEntry : Mg4 In8 Br32 (MgIn2Br8) with energy = -121.0190,2.6732,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0375538052272728
MgIn2Cl8,Mg(InCl4)2,Mg,In,Cl,4.0,1507.3369816825034,13.292877052871551,13.292877052871551,13.292877052871551,125.30494241987844,125.30494241987844,81.03355246567284,142,-138.87474552,-63.989665116,-1.4543105708181818,PDEntry : Mg4 In8 Cl32 (MgIn2Cl8) with energy = -138.8747,3.3854,True,"(0.000,0.000,0.000)-(0.000,0.000,0.000)",0.0989552631818173
MgIn2F10,MgIn2F10,Mg,In,F,1.0,161.9413730916549,4.873452036487301,4.873452036487301,10.057361414641544,57.56912037020762,57.56912037020762,59.57259584040441,5,-53.78920775,-32.526240054000006,-2.5020184656923083,PDEntry : Mg1 In2 F10 with energy = -53.7892,1.1082999999999998,False,"(0.000,0.000,0.000)-(-0.167,0.000,0.333)",0.0718027128846126
